"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ensure the system returns a 404 Not Found status when searching for a non-existent User ID.","185","TC05: Get User with non-existing ID (404)","Surefire suite","Thu Mar 12 05:33:43 UTC 2026","passed","Thu Mar 12 05:33:43 UTC 2026","tests.UserTest","Surefire test","tests.UserTest","getUserByInvalidId"
"Verify that a new user can be successfully created with data.","2279","TC01: Create a new User","Surefire suite","Thu Mar 12 05:33:40 UTC 2026","passed","Thu Mar 12 05:33:42 UTC 2026","tests.UserTest","Surefire test","tests.UserTest","createUser"
"Verify that unauthorized access to protected endpoints is strictly prohibited (401 Unauthorized).","68","TC07: Access protected resource without token","Surefire suite","Thu Mar 12 05:33:43 UTC 2026","failed","Thu Mar 12 05:33:43 UTC 2026","tests.UserTest","Surefire test","tests.UserTest","getProtectedResource"
"Verify that an existing user's information can be updated successfully with valid data.","194","TC03: Update details of User","Surefire suite","Thu Mar 12 05:33:42 UTC 2026","passed","Thu Mar 12 05:33:42 UTC 2026","tests.UserTest","Surefire test","tests.UserTest","updateUser"
"Verify that an existing user can be deleted from the system using their ID.","177","TC04: Delete an existing User by ID","Surefire suite","Thu Mar 12 05:33:42 UTC 2026","passed","Thu Mar 12 05:33:43 UTC 2026","tests.UserTest","Surefire test","tests.UserTest","deleteUser"
"Verify that user details can be retrieved using valid User ID.","107","TC02: Get details of User","Surefire suite","Thu Mar 12 05:33:42 UTC 2026","passed","Thu Mar 12 05:33:42 UTC 2026","tests.UserTest","Surefire test","tests.UserTest","getUserById"
"Validate that the system rejects requests with malformed JSON or invalid data types.","127","TC06: Create User with invalid data format (400)","Surefire suite","Thu Mar 12 05:33:43 UTC 2026","failed","Thu Mar 12 05:33:43 UTC 2026","tests.UserTest","Surefire test","tests.UserTest","createUserWithInvalidData"
